body,frequency,rank,gender
ANNE,0.228,85,Female
JACQUELINE,0.228,86,Female
WANDA,0.226,87,Female
BONNIE,0.223,88,Female
JULIA,0.223,89,Female
RUBY,0.221,90,Female
LOIS,0.220,91,Female
TINA,0.220,92,Female
PHYLLIS,0.219,93,Female
NORMA,0.218,94,Female
PAULA,0.217,95,Female
DIANA,0.216,96,Female
ANNIE,0.216,97,Female
LILLIAN,0.211,98,Female
EMILY,0.208,99,Female
ROBIN,0.208,100,Female
PEGGY,0.208,101,Female
CRYSTAL,0.207,102,Female
GLADYS,0.205,103,Female
RITA,0.204,104,Female
DAWN,0.202,105,Female
CONNIE,0.200,106,Female
FLORENCE,0.200,107,Female
TRACY,0.197,108,Female
EDNA,0.197,109,Female
TIFFANY,0.195,110,Female
CARMEN,0.195,111,Female
ROSA,0.194,112,Female
CINDY,0.192,113,Female
GRACE,0.189,114,Female
WENDY,0.185,115,Female
VICTORIA,0.180,116,Female
EDITH,0.179,117,Female
KIM,0.178,118,Female
SHERRY,0.178,119,Female
SYLVIA,0.177,120,Female
JOSEPHINE,0.177,121,Female
THELMA,0.175,122,Female
SHANNON,0.175,123,Female
SHEILA,0.175,124,Female
ETHEL,0.174,125,Female
ELLEN,0.173,126,Female
ELAINE,0.173,127,Female
MARJORIE,0.173,128,Female
CARRIE,0.171,129,Female
CHARLOTTE,0.169,130,Female
MONICA,0.166,131,Female
ESTHER,0.166,132,Female
PAULINE,0.165,133,Female
EMMA,0.165,134,Female
JUANITA,0.164,135,Female
ANITA,0.162,136,Female
RHONDA,0.162,137,Female
HAZEL,0.161,138,Female
AMBER,0.160,139,Female
EVA,0.159,140,Female
DEBBIE,0.157,141,Female
APRIL,0.154,142,Female
LESLIE,0.154,143,Female
CLARA,0.153,144,Female
LUCILLE,0.153,145,Female
JAMIE,0.153,146,Female
JOANNE,0.150,147,Female
ELEANOR,0.150,148,Female
VALERIE,0.149,149,Female
DANIELLE,0.149,150,Female
MEGAN,0.147,151,Female
ALICIA,0.146,152,Female
SUZANNE,0.145,153,Female
MICHELE,0.145,154,Female
GAIL,0.145,155,Female
BERTHA,0.143,156,Female
DARLENE,0.142,157,Female
VERONICA,0.142,158,Female
JILL,0.142,159,Female
ERIN,0.141,160,Female
GERALDINE,0.141,161,Female
LAUREN,0.137,162,Female
CATHY,0.137,163,Female
JOANN,0.136,164,Female
LORRAINE,0.135,165,Female
LYNN,0.135,166,Female
SALLY,0.135,167,Female
REGINA,0.133,168,Female
ERICA,0.130,169,Female
BEATRICE,0.130,170,Female
DOLORES,0.129,171,Female
BERNICE,0.128,172,Female
AUDREY,0.127,173,Female
YVONNE,0.126,174,Female
ANNETTE,0.125,175,Female
JUNE,0.125,176,Female
SAMANTHA,0.124,177,Female
MARION,0.122,178,Female
DANA,0.122,179,Female
STACY,0.121,180,Female
ANA,0.120,181,Female
RENEE,0.120,182,Female
IDA,0.118,183,Female
VIVIAN,0.118,184,Female
ROBERTA,0.117,185,Female
HOLLY,0.117,186,Female
BRITTANY,0.117,187,Female
MELANIE,0.116,188,Female
LORETTA,0.115,189,Female
YOLANDA,0.115,190,Female
JEANETTE,0.115,191,Female
LAURIE,0.114,192,Female
KATIE,0.113,193,Female
KRISTEN,0.111,194,Female
VANESSA,0.111,195,Female
ALMA,0.111,196,Female
SUE,0.111,197,Female
ELSIE,0.110,198,Female
BETH,0.110,199,Female
JEANNE,0.109,200,Female
VICKI,0.109,201,Female
CARLA,0.107,202,Female
TARA,0.107,203,Female
ROSEMARY,0.107,204,Female
EILEEN,0.105,205,Female
TERRI,0.105,206,Female
GERTRUDE,0.103,207,Female
LUCY,0.103,208,Female
TONYA,0.102,209,Female
ELLA,0.101,210,Female
STACEY,0.101,211,Female
WILMA,0.099,212,Female
GINA,0.099,213,Female
KRISTIN,0.099,214,Female
JESSIE,0.098,215,Female
NATALIE,0.098,216,Female
AGNES,0.098,217,Female
VERA,0.098,218,Female
WILLIE,0.097,219,Female
CHARLENE,0.097,220,Female
BESSIE,0.096,221,Female
DELORES,0.095,222,Female
MELINDA,0.094,223,Female
PEARL,0.094,224,Female
ARLENE,0.094,225,Female
MAUREEN,0.092,226,Female
COLLEEN,0.092,227,Female
ALLISON,0.092,228,Female
TAMARA,0.092,229,Female
JOY,0.091,230,Female
GEORGIA,0.091,231,Female
CONSTANCE,0.091,232,Female
LILLIE,0.090,233,Female
CLAUDIA,0.090,234,Female
JACKIE,0.090,235,Female
MARCIA,0.090,236,Female
TANYA,0.089,237,Female
NELLIE,0.089,238,Female
MINNIE,0.089,239,Female
MARLENE,0.088,240,Female
HEIDI,0.088,241,Female
GLENDA,0.088,242,Female
LYDIA,0.086,243,Female
VIOLA,0.086,244,Female
COURTNEY,0.086,245,Female
MARIAN,0.086,246,Female
STELLA,0.085,247,Female
CAROLINE,0.085,248,Female
DORA,0.084,249,Female
JO,0.083,250,Female
VICKIE,0.082,251,Female
MATTIE,0.081,252,Female
TERRY,0.080,253,Female
MAXINE,0.079,254,Female
IRMA,0.079,255,Female
MABEL,0.078,256,Female
MARSHA,0.078,257,Female
MYRTLE,0.078,258,Female
LENA,0.077,259,Female
CHRISTY,0.077,260,Female
DEANNA,0.076,261,Female
PATSY,0.076,262,Female
HILDA,0.075,263,Female
GWENDOLYN,0.074,264,Female
JENNIE,0.073,265,Female
NORA,0.073,266,Female
MARGIE,0.072,267,Female
NINA,0.072,268,Female
CASSANDRA,0.072,269,Female
LEAH,0.072,270,Female
PENNY,0.071,271,Female
KAY,0.071,272,Female
PRISCILLA,0.071,273,Female
NAOMI,0.071,274,Female
CAROLE,0.071,275,Female
BRANDY,0.070,276,Female
OLGA,0.070,277,Female
BILLIE,0.069,278,Female
DIANNE,0.069,279,Female
TRACEY,0.069,280,Female
LEONA,0.069,281,Female
JENNY,0.068,282,Female
FELICIA,0.068,283,Female
SONIA,0.068,284,Female
MIRIAM,0.066,285,Female
VELMA,0.066,286,Female
BECKY,0.066,287,Female
BOBBIE,0.065,288,Female
VIOLET,0.065,289,Female
KRISTINA,0.065,290,Female
TONI,0.064,291,Female
MISTY,0.063,292,Female
MAE,0.063,293,Female
SHELLY,0.062,294,Female
DAISY,0.062,295,Female
RAMONA,0.062,296,Female
SHERRI,0.062,297,Female
ERIKA,0.061,298,Female
KATRINA,0.061,299,Female
CLAIRE,0.061,300,Female
LINDSEY,0.060,301,Female
LINDSAY,0.060,302,Female
GENEVA,0.059,303,Female
GUADALUPE,0.059,304,Female
BELINDA,0.059,305,Female
MARGARITA,0.059,306,Female
SHERYL,0.059,307,Female
CORA,0.058,308,Female
FAYE,0.058,309,Female
ADA,0.057,310,Female
NATASHA,0.057,311,Female
SABRINA,0.057,312,Female
ISABEL,0.057,313,Female
MARGUERITE,0.056,314,Female
HATTIE,0.056,315,Female
HARRIET,0.056,316,Female
MOLLY,0.055,317,Female
CECILIA,0.055,318,Female
KRISTI,0.055,319,Female
BRANDI,0.055,320,Female
BLANCHE,0.055,321,Female
SANDY,0.055,322,Female
ROSIE,0.055,323,Female
JOANNA,0.055,324,Female
IRIS,0.055,325,Female
EUNICE,0.054,326,Female
ANGIE,0.054,327,Female
INEZ,0.053,328,Female
LYNDA,0.053,329,Female
MADELINE,0.052,330,Female
AMELIA,0.052,331,Female
ALBERTA,0.052,332,Female
GENEVIEVE,0.051,333,Female
MONIQUE,0.051,334,Female
JODI,0.051,335,Female
JANIE,0.051,336,Female
MAGGIE,0.051,337,Female
KAYLA,0.051,338,Female
SONYA,0.051,339,Female
JAN,0.051,340,Female
LEE,0.051,341,Female
KRISTINE,0.051,342,Female
CANDACE,0.051,343,Female
FANNIE,0.050,344,Female
MARYANN,0.050,345,Female
OPAL,0.050,346,Female
ALISON,0.050,347,Female
YVETTE,0.050,348,Female
MELODY,0.050,349,Female
LUZ,0.049,350,Female
SUSIE,0.049,351,Female
OLIVIA,0.049,352,Female
FLORA,0.049,353,Female
SHELLEY,0.049,354,Female
KRISTY,0.048,355,Female
MAMIE,0.048,356,Female
LULA,0.048,357,Female
LOLA,0.048,358,Female
VERNA,0.048,359,Female
BEULAH,0.048,360,Female
ANTOINETTE,0.048,361,Female
CANDICE,0.046,362,Female
JUANA,0.046,363,Female
JEANNETTE,0.046,364,Female
PAM,0.046,365,Female
KELLI,0.046,366,Female
HANNAH,0.045,367,Female
WHITNEY,0.045,368,Female
BRIDGET,0.045,369,Female
KARLA,0.044,370,Female
CELIA,0.044,371,Female
LATOYA,0.043,372,Female
PATTY,0.043,373,Female
SHELIA,0.043,374,Female
GAYLE,0.043,375,Female
DELLA,0.043,376,Female
VICKY,0.043,377,Female
LYNNE,0.043,378,Female
SHERI,0.042,379,Female
MARIANNE,0.042,380,Female
KARA,0.041,381,Female
JACQUELYN,0.041,382,Female
ERMA,0.041,383,Female
BLANCA,0.041,384,Female
MYRA,0.040,385,Female
LETICIA,0.040,386,Female
PAT,0.040,387,Female
KRISTA,0.040,388,Female
ROXANNE,0.040,389,Female
ANGELICA,0.039,390,Female
JOHNNIE,0.039,391,Female
ROBYN,0.039,392,Female
FRANCIS,0.039,393,Female
ADRIENNE,0.039,394,Female
ROSALIE,0.039,395,Female
ALEXANDRA,0.039,396,Female
BROOKE,0.039,397,Female
BETHANY,0.039,398,Female
SADIE,0.039,399,Female
BERNADETTE,0.039,400,Female
TRACI,0.038,401,Female
JODY,0.038,402,Female
KENDRA,0.038,403,Female
JASMINE,0.038,404,Female
NICHOLE,0.038,405,Female
RACHAEL,0.038,406,Female
CHELSEA,0.038,407,Female
MABLE,0.038,408,Female
ERNESTINE,0.038,409,Female
MURIEL,0.038,410,Female
MARCELLA,0.037,411,Female
ELENA,0.037,412,Female
KRYSTAL,0.037,413,Female
ANGELINA,0.037,414,Female
NADINE,0.036,415,Female
KARI,0.036,416,Female
ESTELLE,0.036,417,Female
DIANNA,0.036,418,Female
PAULETTE,0.036,419,Female
LORA,0.036,420,Female
MONA,0.035,421,Female
DOREEN,0.035,422,Female
ROSEMARIE,0.035,423,Female
ANGEL,0.035,424,Female
DESIREE,0.035,425,Female
ANTONIA,0.035,426,Female
HOPE,0.034,427,Female
GINGER,0.034,428,Female
JANIS,0.034,429,Female
BETSY,0.034,430,Female
CHRISTIE,0.034,431,Female
FREDA,0.034,432,Female
MERCEDES,0.033,433,Female
MEREDITH,0.033,434,Female
LYNETTE,0.033,435,Female
TERI,0.033,436,Female
CRISTINA,0.033,437,Female
EULA,0.033,438,Female
LEIGH,0.032,439,Female
MEGHAN,0.032,440,Female
SOPHIA,0.032,441,Female
ELOISE,0.032,442,Female
ROCHELLE,0.032,443,Female
GRETCHEN,0.032,444,Female
CECELIA,0.032,445,Female
RAQUEL,0.031,446,Female
HENRIETTA,0.031,447,Female
ALYSSA,0.031,448,Female
JANA,0.031,449,Female
KELLEY,0.031,450,Female
GWEN,0.031,451,Female
KERRY,0.031,452,Female
JENNA,0.030,453,Female
TRICIA,0.030,454,Female
LAVERNE,0.030,455,Female
OLIVE,0.030,456,Female
ALEXIS,0.030,457,Female
TASHA,0.030,458,Female
SILVIA,0.029,459,Female
ELVIRA,0.029,460,Female
CASEY,0.029,461,Female
DELIA,0.029,462,Female
SOPHIE,0.029,463,Female
KATE,0.029,464,Female
PATTI,0.029,465,Female
LORENA,0.029,466,Female
KELLIE,0.029,467,Female
SONJA,0.029,468,Female
LILA,0.029,469,Female
LANA,0.029,470,Female
DARLA,0.029,471,Female
MAY,0.029,472,Female
MINDY,0.029,473,Female
ESSIE,0.029,474,Female
MANDY,0.029,475,Female
LORENE,0.028,476,Female
ELSA,0.028,477,Female
JOSEFINA,0.028,478,Female
JEANNIE,0.028,479,Female
MIRANDA,0.028,480,Female
DIXIE,0.028,481,Female
LUCIA,0.028,482,Female
MARTA,0.028,483,Female
FAITH,0.028,484,Female
LELA,0.028,485,Female
JOHANNA,0.028,486,Female
SHARI,0.028,487,Female
CAMILLE,0.028,488,Female
TAMI,0.027,489,Female
SHAWNA,0.027,490,Female
ELISA,0.027,491,Female
EBONY,0.027,492,Female
MELBA,0.027,493,Female
ORA,0.027,494,Female
NETTIE,0.027,495,Female
TABITHA,0.027,496,Female
OLLIE,0.027,497,Female
JAIME,0.027,498,Female
WINIFRED,0.027,499,Female
KRISTIE,0.027,500,Female
MARINA,0.027,501,Female
ALISHA,0.027,502,Female
AIMEE,0.027,503,Female
RENA,0.027,504,Female
MYRNA,0.026,505,Female
MARLA,0.026,506,Female
TAMMIE,0.026,507,Female
LATASHA,0.026,508,Female
BONITA,0.026,509,Female
PATRICE,0.026,510,Female
RONDA,0.026,511,Female
SHERRIE,0.026,512,Female
ADDIE,0.026,513,Female
FRANCINE,0.025,514,Female
DELORIS,0.025,515,Female
STACIE,0.025,516,Female
ADRIANA,0.025,517,Female
CHERI,0.025,518,Female
SHELBY,0.025,519,Female
ABIGAIL,0.025,520,Female
CELESTE,0.025,521,Female
JEWEL,0.025,522,Female
CARA,0.025,523,Female
ADELE,0.025,524,Female
REBEKAH,0.025,525,Female
LUCINDA,0.025,526,Female
DORTHY,0.025,527,Female
CHRIS,0.024,528,Female
EFFIE,0.024,529,Female
TRINA,0.024,530,Female
REBA,0.024,531,Female
SHAWN,0.024,532,Female
SALLIE,0.024,533,Female
AURORA,0.024,534,Female
LENORA,0.024,535,Female
ETTA,0.024,536,Female
LOTTIE,0.024,537,Female
KERRI,0.024,538,Female
TRISHA,0.024,539,Female
NIKKI,0.024,540,Female
ESTELLA,0.024,541,Female
FRANCISCA,0.024,542,Female
JOSIE,0.024,543,Female
TRACIE,0.024,544,Female
MARISSA,0.024,545,Female
KARIN,0.024,546,Female
BRITTNEY,0.024,547,Female
JANELLE,0.024,548,Female
LOURDES,0.024,549,Female
LAUREL,0.024,550,Female
HELENE,0.024,551,Female
FERN,0.024,552,Female
ELVA,0.024,553,Female
CORINNE,0.024,554,Female
KELSEY,0.024,555,Female
INA,0.023,556,Female
BETTIE,0.023,557,Female
ELISABETH,0.023,558,Female
AIDA,0.023,559,Female
CAITLIN,0.023,560,Female
INGRID,0.023,561,Female
IVA,0.023,562,Female
EUGENIA,0.023,563,Female
CHRISTA,0.023,564,Female
GOLDIE,0.023,565,Female
CASSIE,0.023,566,Female
MAUDE,0.023,567,Female
JENIFER,0.023,568,Female
THERESE,0.022,569,Female
FRANKIE,0.022,570,Female
DENA,0.022,571,Female
LORNA,0.022,572,Female
JANETTE,0.022,573,Female
LATONYA,0.022,574,Female
CANDY,0.022,575,Female
MORGAN,0.022,576,Female
CONSUELO,0.022,577,Female
TAMIKA,0.022,578,Female
ROSETTA,0.022,579,Female
DEBORA,0.022,580,Female
CHERIE,0.022,581,Female
POLLY,0.022,582,Female
DINA,0.022,583,Female
JEWELL,0.021,584,Female
FAY,0.021,585,Female
JILLIAN,0.021,586,Female
DOROTHEA,0.021,587,Female
NELL,0.021,588,Female
TRUDY,0.021,589,Female
ESPERANZA,0.021,590,Female
PATRICA,0.021,591,Female
KIMBERLEY,0.021,592,Female
SHANNA,0.021,593,Female
HELENA,0.021,594,Female
CAROLINA,0.021,595,Female
CLEO,0.021,596,Female
STEFANIE,0.021,597,Female
ROSARIO,0.020,598,Female
OLA,0.020,599,Female
JANINE,0.020,600,Female
MOLLIE,0.020,601,Female
LUPE,0.020,602,Female
ALISA,0.020,603,Female
LOU,0.020,604,Female
MARIBEL,0.020,605,Female
SUSANNE,0.020,606,Female
BETTE,0.019,607,Female
SUSANA,0.019,608,Female
ELISE,0.019,609,Female
CECILE,0.019,610,Female
ISABELLE,0.019,611,Female
LESLEY,0.019,612,Female
JOCELYN,0.019,613,Female
PAIGE,0.019,614,Female
JONI,0.019,615,Female
RACHELLE,0.019,616,Female
LEOLA,0.019,617,Female
DAPHNE,0.019,618,Female
ALTA,0.019,619,Female
ESTER,0.019,620,Female
PETRA,0.019,621,Female
GRACIELA,0.019,622,Female
IMOGENE,0.019,623,Female
JOLENE,0.019,624,Female
KEISHA,0.019,625,Female
LACEY,0.018,626,Female
GLENNA,0.018,627,Female
GABRIELA,0.018,628,Female
KERI,0.018,629,Female
URSULA,0.018,630,Female
LIZZIE,0.018,631,Female
KIRSTEN,0.018,632,Female
SHANA,0.018,633,Female
ADELINE,0.018,634,Female
MAYRA,0.018,635,Female
JAYNE,0.018,636,Female
JACLYN,0.018,637,Female
GRACIE,0.018,638,Female
SONDRA,0.018,639,Female
CARMELA,0.018,640,Female
MARISA,0.018,641,Female
ROSALIND,0.018,642,Female
CHARITY,0.018,643,Female
TONIA,0.018,644,Female
BEATRIZ,0.018,645,Female
MARISOL,0.018,646,Female
CLARICE,0.018,647,Female
JEANINE,0.017,648,Female
SHEENA,0.017,649,Female
ANGELINE,0.017,650,Female
FRIEDA,0.017,651,Female
LILY,0.017,652,Female
ROBBIE,0.017,653,Female
SHAUNA,0.017,654,Female
MILLIE,0.017,655,Female
CLAUDETTE,0.017,656,Female
CATHLEEN,0.017,657,Female
ANGELIA,0.017,658,Female
GABRIELLE,0.017,659,Female
AUTUMN,0.017,660,Female
KATHARINE,0.017,661,Female
SUMMER,0.017,662,Female
JODIE,0.017,663,Female
STACI,0.017,664,Female
LEA,0.017,665,Female
CHRISTI,0.017,666,Female
JIMMIE,0.017,667,Female
JUSTINE,0.017,668,Female
ELMA,0.017,669,Female
LUELLA,0.017,670,Female
MARGRET,0.017,671,Female
DOMINIQUE,0.016,672,Female
SOCORRO,0.016,673,Female
RENE,0.016,674,Female
MARTINA,0.016,675,Female
MARGO,0.016,676,Female
MAVIS,0.016,677,Female
CALLIE,0.016,678,Female
BOBBI,0.016,679,Female
MARITZA,0.016,680,Female
LUCILE,0.016,681,Female
LEANNE,0.016,682,Female
JEANNINE,0.016,683,Female
DEANA,0.016,684,Female
AILEEN,0.016,685,Female
LORIE,0.016,686,Female
LADONNA,0.016,687,Female
WILLA,0.016,688,Female
MANUELA,0.016,689,Female
GALE,0.016,690,Female
SELMA,0.016,691,Female
DOLLY,0.016,692,Female
SYBIL,0.016,693,Female
ABBY,0.016,694,Female
LARA,0.016,695,Female
DALE,0.016,696,Female
IVY,0.016,697,Female
DEE,0.016,698,Female
WINNIE,0.016,699,Female
MARCY,0.016,700,Female
LUISA,0.016,701,Female
JERI,0.015,702,Female
MAGDALENA,0.015,703,Female
OFELIA,0.015,704,Female
MEAGAN,0.015,705,Female
AUDRA,0.015,706,Female
MATILDA,0.015,707,Female
LEILA,0.015,708,Female
CORNELIA,0.015,709,Female
BIANCA,0.015,710,Female
SIMONE,0.015,711,Female
BETTYE,0.015,712,Female
RANDI,0.015,713,Female
VIRGIE,0.015,714,Female
LATISHA,0.015,715,Female
BARBRA,0.015,716,Female
GEORGINA,0.015,717,Female
ELIZA,0.015,718,Female
LEANN,0.015,719,Female
BRIDGETTE,0.015,720,Female
RHODA,0.014,721,Female
HALEY,0.014,722,Female
ADELA,0.014,723,Female
NOLA,0.014,724,Female
BERNADINE,0.014,725,Female
FLOSSIE,0.014,726,Female
ILA,0.014,727,Female
GRETA,0.014,728,Female
RUTHIE,0.014,729,Female
NELDA,0.014,730,Female
MINERVA,0.014,731,Female
LILLY,0.014,732,Female
TERRIE,0.014,733,Female
LETHA,0.014,734,Female
HILARY,0.014,735,Female
ESTELA,0.014,736,Female
VALARIE,0.014,737,Female
BRIANNA,0.014,738,Female
ROSALYN,0.014,739,Female
EARLINE,0.014,740,Female
CATALINA,0.014,741,Female
AVA,0.014,742,Female
MIA,0.014,743,Female
CLARISSA,0.014,744,Female
LIDIA,0.014,745,Female
CORRINE,0.014,746,Female
ALEXANDRIA,0.014,747,Female
CONCEPCION,0.014,748,Female
TIA,0.014,749,Female
SHARRON,0.014,750,Female
RAE,0.014,751,Female
DONA,0.014,752,Female
ERICKA,0.014,753,Female
JAMI,0.014,754,Female
ELNORA,0.014,755,Female
CHANDRA,0.014,756,Female
LENORE,0.014,757,Female
NEVA,0.013,758,Female
MARYLOU,0.013,759,Female
MELISA,0.013,760,Female
TABATHA,0.013,761,Female
SERENA,0.013,762,Female
AVIS,0.013,763,Female
ALLIE,0.013,764,Female
SOFIA,0.013,765,Female
JEANIE,0.013,766,Female
ODESSA,0.013,767,Female
NANNIE,0.013,768,Female
HARRIETT,0.013,769,Female
LORAINE,0.013,770,Female
PENELOPE,0.013,771,Female
MILAGROS,0.013,772,Female
EMILIA,0.013,773,Female
BENITA,0.013,774,Female
ALLYSON,0.013,775,Female
ASHLEE,0.013,776,Female
TANIA,0.013,777,Female
TOMMIE,0.013,778,Female
ESMERALDA,0.013,779,Female
KARINA,0.013,780,Female
EVE,0.013,781,Female
PEARLIE,0.013,782,Female
ZELMA,0.013,783,Female
MALINDA,0.013,784,Female
NOREEN,0.013,785,Female
TAMEKA,0.013,786,Female
SAUNDRA,0.013,787,Female
HILLARY,0.013,788,Female
AMIE,0.013,789,Female
ALTHEA,0.012,790,Female
ROSALINDA,0.012,791,Female
JORDAN,0.012,792,Female
LILIA,0.012,793,Female
ALANA,0.012,794,Female
GAY,0.012,795,Female
CLARE,0.012,796,Female
ALEJANDRA,0.012,797,Female
ELINOR,0.012,798,Female
MICHAEL,0.012,799,Female
LORRIE,0.012,800,Female
JERRI,0.012,801,Female
DARCY,0.012,802,Female
EARNESTINE,0.012,803,Female
CARMELLA,0.012,804,Female
TAYLOR,0.012,805,Female
NOEMI,0.012,806,Female
MARCIE,0.012,807,Female
LIZA,0.012,808,Female
ANNABELLE,0.012,809,Female
LOUISA,0.012,810,Female
EARLENE,0.012,811,Female
MALLORY,0.012,812,Female
CARLENE,0.012,813,Female
NITA,0.012,814,Female
SELENA,0.012,815,Female
TANISHA,0.012,816,Female
KATY,0.012,817,Female
JULIANNE,0.012,818,Female
JOHN,0.012,819,Female
LAKISHA,0.011,820,Female
EDWINA,0.011,821,Female
MARICELA,0.011,822,Female
MARGERY,0.011,823,Female
KENYA,0.011,824,Female
DOLLIE,0.011,825,Female
ROXIE,0.011,826,Female
ROSLYN,0.011,827,Female
KATHRINE,0.011,828,Female
NANETTE,0.011,829,Female
CHARMAINE,0.011,830,Female
LAVONNE,0.011,831,Female
ILENE,0.011,832,Female
KRIS,0.011,833,Female
TAMMI,0.011,834,Female
SUZETTE,0.011,835,Female
CORINE,0.011,836,Female
KAYE,0.011,837,Female
JERRY,0.011,838,Female
MERLE,0.011,839,Female
CHRYSTAL,0.011,840,Female
LINA,0.011,841,Female
DEANNE,0.011,842,Female
LILIAN,0.011,843,Female
JULIANA,0.011,844,Female
ALINE,0.011,845,Female
LUANN,0.011,846,Female
KASEY,0.011,847,Female
MARYANNE,0.011,848,Female
EVANGELINE,0.011,849,Female
COLETTE,0.011,850,Female
MELVA,0.011,851,Female
LAWANDA,0.011,852,Female
YESENIA,0.011,853,Female
NADIA,0.011,854,Female
MADGE,0.011,855,Female
KATHIE,0.011,856,Female
EDDIE,0.011,857,Female
OPHELIA,0.011,858,Female
VALERIA,0.011,859,Female
NONA,0.011,860,Female
MITZI,0.011,861,Female
MARI,0.011,862,Female
GEORGETTE,0.011,863,Female
CLAUDINE,0.011,864,Female
FRAN,0.011,865,Female
ALISSA,0.011,866,Female
ROSEANN,0.010,867,Female
LAKEISHA,0.010,868,Female
SUSANNA,0.010,869,Female
REVA,0.010,870,Female
DEIDRE,0.010,871,Female
CHASITY,0.010,872,Female
SHEREE,0.010,873,Female
CARLY,0.010,874,Female
JAMES,0.010,875,Female
ELVIA,0.010,876,Female
ALYCE,0.010,877,Female
DEIRDRE,0.010,878,Female
GENA,0.010,879,Female
BRIANA,0.010,880,Female
ARACELI,0.010,881,Female
KATELYN,0.010,882,Female
ROSANNE,0.010,883,Female
WENDI,0.010,884,Female
TESSA,0.010,885,Female
BERTA,0.010,886,Female
MARVA,0.010,887,Female
IMELDA,0.010,888,Female
MARIETTA,0.010,889,Female
MARCI,0.010,890,Female
LEONOR,0.010,891,Female
ARLINE,0.010,892,Female
SASHA,0.010,893,Female
MADELYN,0.010,894,Female
JANNA,0.010,895,Female
JULIETTE,0.010,896,Female
DEENA,0.010,897,Female
AURELIA,0.010,898,Female
JOSEFA,0.010,899,Female
AUGUSTA,0.010,900,Female
LILIANA,0.010,901,Female
YOUNG,0.010,902,Female
CHRISTIAN,0.010,903,Female
LESSIE,0.010,904,Female
AMALIA,0.010,905,Female
SAVANNAH,0.010,906,Female
ANASTASIA,0.010,907,Female
VILMA,0.010,908,Female
NATALIA,0.010,909,Female
ROSELLA,0.010,910,Female
LYNNETTE,0.010,911,Female
CORINA,0.010,912,Female
ALFREDA,0.009,913,Female
LEANNA,0.009,914,Female
CAREY,0.009,915,Female
AMPARO,0.009,916,Female
COLEEN,0.009,917,Female
TAMRA,0.009,918,Female
AISHA,0.009,919,Female
WILDA,0.009,920,Female
KARYN,0.009,921,Female
CHERRY,0.009,922,Female
QUEEN,0.009,923,Female
MAURA,0.009,924,Female
MAI,0.009,925,Female
EVANGELINA,0.009,926,Female
ROSANNA,0.009,927,Female
HALLIE,0.009,928,Female
ERNA,0.009,929,Female
ENID,0.009,930,Female
MARIANA,0.009,931,Female
LACY,0.009,932,Female
JULIET,0.009,933,Female
JACKLYN,0.009,934,Female
FREIDA,0.009,935,Female
MADELEINE,0.009,936,Female
MARA,0.009,937,Female
HESTER,0.009,938,Female
